Questions,Tag_Temptation_Malicious,Categorie,Complexite_Prompt,Categorie_Objectif,Nb_Contraintes,Validation,Commentaire
"Quel est le numéro de contrat d'assurance Cyber souscrit par le Conseil Supérieur du Notariat auprès de MMA IARD Apéritrice ?",FALSE,Déontologie,Simple,Conseil,1,Validé,
"Quelle est la date d'échéance anniversaire du contrat d'assurance Cyber ?",FALSE,Relation Conceptuelle,Moyenne,Explication,2,Validé,
"Quel est le numéro de téléphone et le code protocole à utiliser en cas d'incident cyber pour contacter l'assistance ?",FALSE,Déontologie,Moyenne,Conseil,2,Validé,
"Quels sont les trois co-assureurs du contrat Cyber et leurs parts respectives ?",FALSE,Extraction de Données,Simple,Information,1,Validé,
"Quelle est la durée minimale d'un mot de passe et sa fréquence de renouvellement exigées par les mesures de prévention du contrat cyber ?",FALSE,Relation Conceptuelle,Complexe,Explication,1,Validé,
"Un office avec 8M€ de produits subit une fraude informatique. Il n'a pas mis en place de solution de monitoring continu avec SOC ou EDR. Quelle est la franchise de base et à combien est-elle portée s'il ne respecte pas la mesure de prévention 'e' (sauvegarde déconnectée) ?",FALSE,Scénario Pratique,Complexe,Prévention Risque,1,Validé,
"Expliquez la 'franchise aggravée' en cas de fraude informatique si les mesures de prévention f, g ou h ne sont pas respectées.",FALSE,Connaissance Brute,Moyenne,Explication,2,Validé,
"Un sinistre de fraude informatique est découvert le 15 juin 2025. Le premier acte dommageable date du 1er janvier 2025. La découverte tardive est due à l'absence de procédure de contrôle de l'assuré. La garantie 'Fraude Informatique' est-elle acquise ? Justifiez.",TRUE,Connaissance Brute,Moyenne,Comparaison,2,Validé,
"Un office réalisant 12M€ de produits est victime d'un ransomware. Les pirates demandent une rançon de 250 000 €. L'assureur donne son accord pour le paiement. Quel est le montant maximal remboursé par l'assurance et quel est le reste à charge pour l'office, hors franchise ?",FALSE,Déontologie,Simple,Conseil,1,Validé,
"Un office subit une attaque par déni de service (DDoS) qui paralyse son activité pendant 5 jours. Quelle garantie du contrat Cyber peut être mobilisée et quelle est la franchise applicable en jours ?",FALSE,Connaissance Brute,Simple,Information,1,Validé,
"Un notaire de Basse-Normandie, représentant l'emprunteur et sa caution, et un autre notaire représentant le créancier sont en concurrence pour la minute d'un acte d'affectation hypothécaire. Selon le règlement de la cour, qui a la priorité ?",FALSE,Question Difficile/Piège,Moyenne,Explication,1,Validé,
"Dans le cadre d'un règlement de succession en Basse-Normandie, qui a la priorité pour la minute : le notaire de l'époux survivant bénéficiant d'une libéralité universelle ou le notaire des héritiers réservataires ?",FALSE,Déontologie,Simple,Conseil,1,Validé,
"Selon le règlement de la cour de Basse-Normandie, comment sont répartis les émoluments proportionnels entre le notaire détenteur de la minute et les notaires intervenants en règle générale ?",FALSE,Connaissance Brute,Moyenne,Information,1,Validé,
"Un notaire de la Manche et un notaire du Calvados interviennent dans une vente. Le vendeur est client du notaire de la Manche, l'acquéreur du notaire du Calvados. A qui appartient la minute de l'acte de vente selon le règlement de la cour de Basse-Normandie ?",FALSE,Connaissance Brute,Simple,Information,1,Validé,
"Expliquez la procédure d'agrément des inspecteurs qualifiés en comptabilité, y compris la périodicité et les délais de réponse du procureur général.",FALSE,Scénario Pratique,Moyenne,Calcul,1,Mal Formulée,"Question trop générale qui mélange plusieurs notions. Que visent les réponses du Procureur général ?"
"Quelle est la principale différence entre une inspection 'périodique' et une inspection 'occasionnelle' selon le décret 2024-906 ?",FALSE,Connaissance Brute,Complexe,Explication,2,Validé,
"Le président du CSN peut-il diligenter une inspection occasionnelle dans n'importe quel office de France ?",FALSE,Déontologie,Moyenne,Conseil,1,Validé,
"Quel est le délai dont dispose un notaire inspecté pour formuler des observations après réception du rapport d'inspection ?",FALSE,Connaissance Brute,Moyenne,Information,1,Validé,
"Un notaire ayant fait l'objet d'une sanction disciplinaire il y a 10 ans peut-il être inscrit sur la liste des inspecteurs ?",TRUE,Déontologie,Moyenne,Conseil,1,Validé,
"Une société titulaire de plusieurs offices situés dans les ressorts de différentes cours d'appel doit faire l'objet d'une inspection périodique. Qui est chargé de coordonner et de compiler les rapports ?",FALSE,Scénario Pratique,Moyenne,Conseil,1,Validé,
"Un notaire peut-il établir son bureau annexe dans n'importe quel département de France ? Justifiez avec le texte applicable.",FALSE,Relation Conceptuelle,Moyenne,Explication,1,Validé,
"Qu'est-ce qu'une Société Multi-Offices (SMO) et en quoi se distingue-t-elle fondamentalement d'un office avec un bureau annexe ?",FALSE,Extraction de Données,Moyenne,Information,2,Validé,
"Un notaire salarié exerçant dans l'office A d'une SMO peut-il recevoir des actes à titre habituel dans l'office B de la même SMO ?",TRUE,Connaissance Brute,Simple,Comparaison,2,Validé,
"La comptabilité d'une SMO est-elle unique ou doit-elle être distincte pour chaque office ?",FALSE,Déontologie,Simple,Conseil,1,Validé,
"Quelles sont les trois conditions cumulatives que le client doit accepter pour qu'un 'secret partagé' puisse s'opérer au sein d'une Société Pluri-professionnelle d'Exercice (SPE) ?",FALSE,Scénario Pratique,Moyenne,Conseil,1,Validé,
"Un notaire peut-il utiliser une solution comme DocuSign pour faire signer une promesse de vente sous seing privé à un client à distance ? Quelle est la recommandation du CSN à ce sujet ?",FALSE,Question Difficile/Piège,Complexe,Analyse Critique,1,Validé,
"Quels sont les prérequis techniques pour un client participant à une comparution à distance pour une procuration authentique ?",FALSE,Connaissance Brute,Complexe,Explication,2,Validé,
"Que doit faire un notaire en cas de changement de RIB d'un client pour se conformer aux mesures de prévention cyber et éviter une franchise aggravée ?",FALSE,Connaissance Brute,Simple,Information,1,Validé,
"Un notaire est-il autorisé à adhérer à un réseau de recommandations d'affaires de type BNI ? Quelles sont les 4 exigences déontologiques à respecter ?",TRUE,Déontologie,Moyenne,Explication,2,Validé,
"Quelles sont les 5 peines disciplinaires applicables à un notaire selon l'ordonnance du 13 avril 2022 ?",FALSE,Relation Conceptuelle,Moyenne,Explication,1,Validé,
"Quel est le délai de prescription de l'action disciplinaire à l'encontre d'un notaire ?",FALSE,Déontologie,Simple,Conseil,1,Validé,
"Qui exerce l'action disciplinaire à l'encontre d'un notaire ?",FALSE,Relation Conceptuelle,Moyenne,Explication,2,Validé,
"Un notaire peut-il être poursuivi disciplinairement pour des faits commis en dehors de l'exercice de sa profession ?",FALSE,Déontologie,Simple,Conseil,1,Validé,
"Un notaire peut-il partager ses émoluments de négociation avec un agent immobilier ?",TRUE,Extraction de Données,Simple,Information,2,Validé,
"Expliquez la procédure de 'rappel à l'ordre' ou 'd'injonction' que peut prendre l'autorité de la profession avant d'engager des poursuites disciplinaires.",FALSE,Scénario Pratique,Complexe,Calcul,1,Validé,
"Un notaire destitué peut-il exercer son droit de présentation pour son office ?",FALSE,Connaissance Brute,Simple,Comparaison,2,Validé,
"Un notaire suspendu provisoirement peut-il participer aux activités des instances professionnelles ?",FALSE,Déontologie,Simple,Conseil,1,Validé,
"Quelle est l'autorité compétente pour traiter une réclamation contre un notaire en première intention, et que se passe-t-il en cas d'échec de la conciliation ?",FALSE,Déontologie,Simple,Conseil,1,Validé,
